course,name,description,author,url,repo,tags,icon,screenshot,hidden,no-embed
he,טוב שנשאר,"חיבור בין אוכל איכותי שנשאר מאירועים לבין אנשים ומשפחות שזקוקים לו, לפני שהוא נזרק.",הדס,https://service-2383.ai.studio/,https://github.com/hadas8/food_left_googleAIStudio_app,עוזר חכם | קיימות,🍲,,,
he,EcoSort: אתגר המיחזור,"משחק חינוכי אינטראקטיבי ומתוזמן שבו ממיינים פסולת לפחי המיחזור הנכונים, בסצנות משתנות.",הדס,https://hadas8.github.io/EcoSort-Webapp/,https://github.com/hadas8/EcoSort-Webapp,משחק | חינוך,♻️,,,
